creativity,logic,social,risk,patience,design_interest,coding_interest,math_strength,communication,gadget_interest,stability_preference,self_learning,role_label
5,7,5,6,6,2,3,9,7,5,8,8,Data Scientist
9,6,9,5,10,4,4,9,9,5,8,6,IT Support Engineer
9,8,5,8,5,3,6,8,5,3,2,9,Cloud Engineer
6,8,2,10,5,4,5,8,7,5,6,7,Web3 Developer
3,8,7,6,9,6,8,8,5,2,8,8,QA/Automation Tester
9,7,5,7,6,10,4,9,9,8,1,5,UI/UX Designer
2,9,2,7,3,6,6,9,5,6,4,9,Data Scientist
9,3,3,2,1,9,6,1,2,4,2,6,Frontend Developer
7,9,5,5,8,4,9,5,4,2,9,9,DevOps Engineer
5,7,8,3,9,6,2,7,8,6,9,2,IT Support Engineer
7,6,4,9,1,5,7,6,1,3,5,6,Cloud Engineer
4,7,2,8,1,4,5,5,3,9,6,5,Systems Engineer
9,7,9,8,8,9,6,8,8,5,5,5,AR/VR Developer
10,9,5,2,6,9,4,8,9,3,4,7,UI/UX Designer
2,6,8,7,1,5,2,9,7,7,7,3,AI Researcher
5,4,8,5,6,2,7,2,7,3,8,6,IT Support Engineer
2,8,3,9,8,8,9,1,5,4,9,9,Database Admin
6,7,3,6,9,6,7,1,9,7,4,6,DevOps Engineer
6,6,5,2,9,8,4,2,3,2,4,2,Frontend Developer
4,8,6,6,4,7,6,5,6,10,6,5,IoT Engineer
7,5,6,7,9,8,2,4,8,6,9,8,IT Support Engineer
9,9,2,7,9,8,8,6,5,8,2,6,Robotics Engineer
7,9,9,7,7,4,4,4,7,9,8,6,Robotics Engineer
7,6,9,7,9,5,8,7,10,6,3,4,Digital Marketing Analyst
6,4,8,4,7,4,1,9,10,3,3,4,Technical Writer
8,9,4,7,10,7,4,10,1,3,7,5,QA/Automation Tester
9,9,8,5,4,9,1,4,6,7,7,4,Systems Engineer
9,9,5,9,4,8,9,2,7,5,6,5,Full Stack Developer
7,9,6,7,6,3,4,8,3,4,5,8,AI Researcher
5,9,4,5,4,9,4,10,4,7,8,10,Data Scientist
7,6,7,3,9,5,7,4,6,8,9,1,QA/Automation Tester
7,9,8,2,4,3,7,6,8,3,7,9,Digital Marketing Analyst
3,9,2,5,5,5,6,8,4,7,4,8,Data Scientist
7,6,4,8,9,6,9,10,6,6,4,6,DevOps Engineer
6,4,5,6,6,9,7,4,8,8,9,7,Frontend Developer
8,3,10,8,2,3,3,4,9,2,5,5,Product Manager
4,6,7,5,5,5,10,4,4,9,9,2,Systems Engineer
10,5,3,3,5,8,2,9,7,5,2,3,UI/UX Designer
8,8,3,3,5,9,8,6,8,8,3,8,IoT Engineer
1,9,1,2,9,10,6,8,9,10,10,9,IoT Engineer
5,8,3,7,7,9,8,7,5,3,8,3,Backend Developer
